,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
0,AARON ADDISON,0.18181818181818182,10.0,0.2,1.0,0.0,R,M,AUS,1996.0,187.07692307692307,86.69444444444444,14.98,0.5878552971576227,83.0,12.32,47.78,8.82,5.88,75.79
1,ABBIE MYERS,0.47770700636942676,142.0,0.4788732394366197,15.0,0.4666666666666667,R,F,AUS,1994.0,170.85714285714286,61.6219512195122,1.3,0.2700032695883381,819.0,4.67,22.1,3.18,5.39,37.9
2,ABHINAV SANJEEV SHANMUGAM,0.5,13.0,0.46153846153846156,3.0,0.6666666666666666,U,M,IND,1998.0,183.8,86.875,20.59,0.6137012369172217,111.0,10.89,51.65,7.12,10.1,70.86
4,ABIGAIL TERE APISAH,0.5873015873015873,113.0,0.5752212389380531,13.0,0.6923076923076923,U,F,PNG,1992.0,172.13786827469158,63.20556133056134,3.32,0.5653831864870122,1081.0,11.42,54.16,3.76,7.94,47.32
5,ABIR EL FAHIMI,0.21428571428571427,14.0,0.21428571428571427,0.0,0.0,U,F,MAR,1995.0,172.13786827469158,49.40909090909091,0.0,0.1895424836601307,110.0,16.3,17.2,0.51,2.55,11.88
6,ADAM EL MIHDAWY,0.2608695652173913,23.0,0.2608695652173913,0.0,0.0,U,M,USA,1989.0,187.53125,61.33823529411765,13.46,0.5426062116076386,127.0,22.26,37.25,10.15,10.74,73.38
7,ADAM PAVLASEK,0.5422885572139303,197.0,0.5482233502538071,4.0,0.25,R,M,CZE,1994.0,190.375,92.12255684084563,10.44,0.6128149146494705,1386.0,5.64,50.33,5.68,6.97,67.03
10,ADELCHI VIRGILI,0.4482758620689655,29.0,0.4482758620689655,0.0,0.0,U,M,ITA,1990.0,185.7058823529412,87.79567307692308,8.63,0.5862580326248147,211.0,12.6,45.27,4.6,8.43,65.36
19,ADRIAN ANDREEV,0.4,4.0,0.0,26.0,0.46153846153846156,R,M,BUL,2001.0,188.0,100.30555555555556,3.43,0.5690531177829099,224.0,7.15,47.56,9.92,5.73,69.52
20,ADRIAN BODMER,0.2631578947368421,19.0,0.2631578947368421,0.0,0.0,R,M,SUI,1995.0,182.83333333333331,83.52857142857144,11.41,0.6062138728323699,150.0,6.49,48.78,9.13,8.24,72.75
21,ADRIAN MANNARINO,0.5214723926380368,263.0,0.5399239543726235,63.0,0.4444444444444444,L,M,FRA,1988.0,183.0,104.64317496229262,10.35,0.6255826206784745,2169.0,5.53,51.37,13.94,6.2,70.04
22,ADRIAN MENENDEZ MACEIRAS,0.5051903114186851,249.0,0.5261044176706827,40.0,0.375,R,M,ESP,1985.0,182.65217391304347,102.13521410096752,9.29,0.6246165644171779,1805.0,4.87,51.1,13.77,7.28,70.45
23,ADRIAN UNGUR,0.4492753623188406,69.0,0.4492753623188406,0.0,0.0,R,M,ROU,1985.0,178.0,92.28522920203736,4.29,0.6042131168685712,474.0,6.78,53.58,9.9,5.71,68.27
27,ADRIEN BOSSEL,0.46,50.0,0.46,0.0,0.0,L,M,SUI,1987.0,182.83333333333331,84.7842190016103,14.87,0.6266406031834683,299.0,8.44,49.59,15.42,8.2,72.47
29,ADRIENN NAGY,0.45555555555555555,43.0,0.46511627906976744,47.0,0.44680851063829785,R,F,HUN,2001.0,175.5,61.475111996017915,8.16,0.7772505639507147,1113.0,14.58,94.18,1.5,3.39,17.15
